season,day_in_season,winning_team_id,winning_team_score,losing_team_id,losing_team_score
1985,136,1116,63,1234,54
1985,136,1120,59,1345,58
1985,136,1207,68,1250,43
1985,136,1229,58,1425,55
1985,136,1242,49,1325,38
1985,136,1246,66,1449,58
1985,136,1256,78,1338,54
1985,136,1260,59,1233,58
1985,136,1314,76,1292,57
1985,136,1323,79,1333,70
1985,136,1326,75,1235,64
1985,136,1328,96,1299,83
1985,136,1374,85,1330,68
1985,136,1385,83,1380,59
1985,136,1396,60,1439,57
1985,136,1424,85,1361,80
1985,137,1104,50,1112,41
1985,137,1130,55,1403,53
1985,137,1181,75,1337,62
1985,137,1208,67,1455,59
1985,137,1210,65,1273,58
1985,137,1228,76,1318,57
1985,137,1268,69,1275,68
1985,137,1272,67,1335,55
1985,137,1276,59,1192,55
1985,137,1298,78,1261,55
1985,137,1301,65,1305,56
1985,137,1393,70,1177,65
1985,137,1412,70,1277,68
1985,137,1431,79,1409,75
1985,137,1433,81,1267,65
1985,137,1437,51,1173,49
1985,138,1120,66,1242,64
1985,138,1207,63,1396,46
1985,138,1246,64,1424,61
1985,138,1256,79,1326,67
1985,138,1260,70,1374,57
1985,138,1314,60,1323,58
1985,138,1328,75,1229,69
1985,138,1385,68,1116,65
1985,139,1104,63,1433,59
1985,139,1130,74,1181,73
1985,139,1210,70,1393,53
1985,139,1228,74,1208,58
1985,139,1268,64,1298,59
1985,139,1272,67,1412,66
1985,139,1301,86,1431,73
1985,139,1437,59,1276,55
1985,143,1207,65,1260,53
1985,143,1210,61,1228,53
1985,143,1272,59,1130,57
1985,143,1328,86,1256,84
1985,144,1301,61,1104,55
1985,144,1314,62,1120,56
1985,144,1385,86,1246,70
1985,144,1437,46,1268,43
1985,145,1207,60,1210,54
1985,145,1272,63,1328,61
1985,146,1385,69,1301,60
1985,146,1437,56,1314,44
1985,152,1207,77,1385,59
1985,152,1437,52,1272,45
1985,154,1437,66,1207,64
1986,136,1133,83,1431,65
1986,136,1177,72,1438,68
1986,136,1181,85,1290,78
1986,136,1207,70,1403,64
1986,136,1210,68,1265,53
1986,136,1242,71,1299,46
1986,136,1257,93,1180,73
1986,136,1261,94,1345,87
1986,136,1272,95,1123,63
1986,136,1277,72,1449,70
1986,136,1314,84,1428,72
1986,136,1328,80,1318,74
1986,136,1330,72,1452,64
1986,136,1396,61,1239,50
1986,136,1412,66,1281,64
1986,136,1437,71,1439,62
1986,137,1104,97,1462,80
1986,137,1114,90,1323,83
1986,137,1120,73,1112,63
1986,137,1156,83,1231,79
1986,137,1228,75,1193,51
1986,137,1235,81,1275,79
1986,137,1246,75,1172,55
1986,137,1268,69,1337,64
1986,137,1276,70,1103,64
1986,137,1298,87,1409,68
1986,137,1301,66,1234,64
1986,137,1385,83,1286,74
1986,137,1386,60,1350,59
1986,137,1393,101,1135,52
1986,137,1424,74,1419,51
1986,137,1443,67,1304,59
1986,138,1177,74,1328,69
1986,138,1181,89,1330,61
1986,138,1210,66,1437,61
1986,138,1242,65,1396,43
1986,138,1257,82,1133,68
1986,138,1261,83,1272,81
1986,138,1277,80,1207,68
1986,138,1314,77,1412,59
1986,139,1104,58,1228,56
1986,139,1120,81,1385,65
1986,139,1156,75,1386,69
1986,139,1235,72,1276,69
1986,139,1246,71,1443,64
1986,139,1298,97,1393,85
1986,139,1301,80,1114,66
1986,139,1424,70,1268,64
1986,143,1120,70,1424,63
1986,143,1246,68,1104,63
1986,143,1257,94,1314,79
1986,143,1261,70,1210,64
1986,144,1181,74,1177,67
1986,144,1242,96,1277,86
1986,144,1298,71,1156,70
1986,144,1301,70,1235,66
1986,145,1257,84,1120,76
1986,145,1261,59,1246,57
1986,146,1181,71,1298,50
